P1050944	Baboons	http://www.youtube.com/watch?v=dTmBjplwOG0&feature=youtube_gdata_player	Three baboons (male, female and child) at the Samburu National Park camping site. Later the camera turns to show a tourist in a white T-shirt that says "TERE!".	africa, kenya, samburu, baboon	67	21239
P1060159	Riding on a truck through Ugandan villages	http://www.youtube.com/watch?v=cuaNcjOojWc&feature=youtube_gdata_player	Riding on a small truck through Ugandan villages and waving to kids by the roadside. This area (maybe even the same road) is featured in the film "The Last King of Scotland".	africa, uganda, bujagali, village, children	78	166
P1060583	Twa dance	http://www.youtube.com/watch?v=B9mu9xq8_Ec&feature=youtube_gdata_player	Twa people singing and dancing in a Twa village close to Ruhengeri, Rwanda	africa, rwanda, twa, singing, dancing	54	822
P1060452	Guhonda greets Francois	http://www.youtube.com/watch?v=vu19sAoGpcw&feature=youtube_gdata_player	Silverback Guhonda from the Sabyinyo family (aggressively) greets Francois the Gorilla trekking guide (37sec into the movie).	rwanda, volcanoes, gorilla	133	687
P1070293	Masai jumping	http://www.youtube.com/watch?v=ZfAs8iomyv8&feature=youtube_gdata_player	Masai men singing and jumping in a Masai village close to Masai Mara.	africa, keyna, masai, masai-mara, singing, jumping	67	429
P1070301	Masai women singing and dancing	http://www.youtube.com/watch?v=UumR4aiFYqA&feature=youtube_gdata_player	Masai women singing and dancing in a Masai village close to Masai Mara.	africa, kenya, masai, masai-mara, singing, dancing	47	242
P1060097	Roadside in Eldoret, Kenya	http://www.youtube.com/watch?v=BopdDTQGi-c&feature=youtube_gdata_player	Driving through Eldoret on a large yellow truck.	africa, kenya, eldoret, roadside	118	1403
P1050758	Samburu women singing a welcome song	http://www.youtube.com/watch?v=qEKvdRRYPVg&feature=youtube_gdata_player	Samburu women (of the Umoja village) singing a welcome song to a bunch of visitors. See also en.wikipedia.org	africa, kenya, samburu, umoja, song, greeting, welcome	72	427
P1070329	Masai men making fire	http://www.youtube.com/watch?v=ISMHOI_KeX8&feature=youtube_gdata_player	Masai men making fire without using matches.	africa, kenya, masai, masai-mara, fire	118	97
P1050877	Elephants	http://www.youtube.com/watch?v=BuPxpnlXYQo&feature=youtube_gdata_player	Elephants at the Samburu National Park	africa, kenya, samburu, elephant	85	39
P1050858	Elephants and their babies	http://www.youtube.com/watch?v=xN4pR69hPi8&feature=youtube_gdata_player	Elephants and their babies walking and eating in the Samburu National Park	africa, kenya, samburu, elephant	72	77
P1050644	Kilimanjaro Song	http://www.youtube.com/watch?v=6g4_RpxumUY&feature=youtube_gdata_player	Kilimanjaro Song performed by Duma Explorers (www.dumaexplorer.com	kilimanjaro, mweka, machame_route	116	115
