 "Al QÄhirah"	 "EG",
 "Rift Valley"	 "KE",
 "Rift Valley"	 "KE",
 "Nairobi Area"	 "KE",
 "Eastern"	 "KE",
 "Eastern"	 "KE",
 "Eastern"	 "KE",
 "Rift Valley"	 "KE",
 "Rift Valley"	 "KE",
 "Arusha"	 "TZ",
 "Arusha"	 "TZ",
 "Arusha"	 "TZ",
 "Arusha"	 "TZ",
 "Arusha"	 "TZ",
 "Kilimanjaro"	 "TZ",
 "Arusha"	 "TZ",
 "Rift Valley"	 "KE",
 "Central"	 "KE",
 "UG.05"	 "UG",
 "Ruhengeri"	 "RW",
 "Kigali"	 "RW",
 "UG.24"	 "UG",
 "Rift Valley"	 "KE",
 "Central"	 "KE",
 "Rift Valley"	 "KE",
 "Central"	 "KE",
 "Arusha"	 "TZ",
 "Arusha"	 "TZ",
 "Tanga"	 "TZ",
 "Pwani"	 "TZ",
UNDEF	UNDEF
 "Zanzibar North"	 "TZ",
 "Dar es Salaam"	 "TZ",
 "Morogoro"	 "TZ",
 "Iringa"	 "TZ",
 "Mbeya"	 "TZ",
UNDEF	 "MW"
UNDEF	 "MW"
 "Eastern"	 "ZM",
 "Eastern"	 "ZM",
 "Lusaka"	 "ZM",
 "Southern"	 "ZM",
 "Southern"	 "ZM",
 "Southern"	 "ZM",
 "Caprivi Oos"	 "NA",
 "Central"	 "BW",
 "North West"	 "BW",
 "North West"	 "BW",
 "Kavango"	 "NA",
 "Kavango"	 "NA",
 "Grootfontein"	 "NA",
 "Tsumeb"	 "NA",
 "Outjo"	 "NA",
 "Outjo"	 "NA",
 "Outjo"	 "NA",
 "Damaraland"	 "NA",
 "Swakopmund"	 "NA",
 "Swakopmund"	 "NA",
 "Khomas"	 "NA",
 "Swakopmund"	 "NA",
 "Maltahohe"	 "NA",
 "Keetmanshoop"	 "NA",
 "Western Cape"	 "ZA",
UNDEF	UNDEF
 "Auckland"	 "NZ",
UNDEF	UNDEF
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "National Capital District"	 "PG",
 "Northern Province"	 "PG",
 "Western Highlands"	 "PG",
 "Western Highlands"	 "PG",
 "Western Highlands"	 "PG",
 "Chimbu"	 "PG",
 "Eastern Highlands"	 "PG",
 "Eastern Highlands"	 "PG",
 "Eastern Highlands"	 "PG",
 "Madang"	 "PG",
 "Madang"	 "PG",
 "Eastern Highlands"	 "PG",
 "Central Province"	 "PG",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "Queensland"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "New South Wales"	 "AU",
 "Northern Territory"	 "AU",
 "Northern Territory"	 "AU",
 "Northern Territory"	 "AU",
 "Northern Territory"	 "AU",
 "Western Australia"	 "AU",
UNDEF	UNDEF
UNDEF	UNDEF
UNDEF	UNDEF
UNDEF	UNDEF
 "Nusa Tenggara Barat"	 "ID",
 "Nusa Tenggara Barat"	 "ID",
 "Nusa Tenggara Barat"	 "ID",
 "Bali"	 "ID",
 "Bali"	 "ID",
